City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Aklavik,CA,2022-02-23 04:00:41,68.2191,-135.0107,12.74,94,100,1.63
281,Bagdarin,RU,2022-02-23 04:00:42,54.4333,113.6,18.52,75,64,1.99
282,Tura,IN,2022-02-23 04:00:42,25.5198,90.2201,68.36,44,97,1.61
283,Anloga,GH,2022-02-23 04:00:43,5.7947,0.8973,80.22,86,6,9.93
284,Walvis Bay,NA,2022-02-23 04:00:43,-22.9575,14.5053,66.09,80,34,2.95
285,Kruisfontein,ZA,2022-02-23 04:00:44,-34.0033,24.7314,60.84,75,0,4.27
286,Boundiali,CI,2022-02-23 04:00:44,9.5217,-6.4869,72.09,32,90,1.21
287,General Pico,AR,2022-02-23 04:00:45,-35.6566,-63.7568,63.21,65,10,6.58
288,Axim,GH,2022-02-23 04:00:45,4.8699,-2.2405,78.51,91,38,5.95
289,San Pedro,PH,2022-02-23 04:00:45,14.35,121.0167,84.34,66,98,14.79
290,Kingman,US,2022-02-23 04:00:08,35.1894,-114.053,51.28,73,94,18.45
291,Sale,MA,2022-02-23 04:00:46,34.0389,-6.8166,54.28,87,100,0.0
292,Ongandjera,NA,2022-02-23 04:00:47,-17.8833,15.0667,73.08,71,96,4.32
293,Prado,BR,2022-02-23 04:00:47,-17.3411,-39.2208,76.26,86,0,4.56
294,Paraiso,CR,2022-02-23 04:00:47,9.8383,-83.8656,61.88,86,66,4.0
