City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
67,Castro,BR,63.59,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
70,New Norfolk,AU,65.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Key West,US,71.01,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
73,Lagoa,PT,55.42,overcast clouds,39.05,-27.9833,Casa Das Faias
76,Te Anau,NZ,68.94,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
77,Maridi,SS,71.87,broken clouds,4.9158,29.4742,
80,Rio Gallegos,AR,48.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
81,Arraial Do Cabo,BR,77.74,clear sky,-22.9661,-42.0278,Pousada Porto Praia
92,Quebo,GW,70.14,scattered clouds,11.3333,-14.9333,
94,Lompoc,US,68.56,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
99,Shache,CN,52.27,broken clouds,38.4167,77.2406,Delong Hotel
100,Baracoa,CU,76.26,few clouds,20.3467,-74.4958,Hostal Rio Miel
101,Aden,YE,77.31,clear sky,12.7794,45.0367,Sama Emirate Hotel
103,Valle De Allende,MX,66.79,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
104,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
105,Chuy,UY,60.55,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
106,Puerto Berrio,CO,74.86,broken clouds,6.4916,-74.4033,Hotel Central
114,Fortuna,US,55.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
117,San Patricio,US,64.27,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
118,Ahualulco,MX,64.22,clear sky,22.4,-101.1667,Hotel Aurelieus
119,Mount Gambier,AU,72.68,overcast clouds,-37.8333,140.7667,The Commodore
121,Saldanha,ZA,60.66,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
122,Suratgarh,IN,73.2,clear sky,29.3167,73.9,Maharaja Hotel
123,Rio Grande,BR,63.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
124,Benjamin Aceval,PY,73.54,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
130,Marzuq,YE,61.12,clear sky,14.4,46.4667,
131,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,departamento comodo
135,San Juan,AR,75.88,clear sky,-31.5375,-68.5364,Hotel Provincial
137,Agadir,MA,59.45,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
139,Rocha,UY,56.48,clear sky,-34.4833,-54.3333,Hotel Arrarte
142,Stornoway,GB,46.36,broken clouds,58.2093,-6.3865,Caladh Inn
143,Florianopolis,BR,70.36,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
144,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
145,Lebu,CL,57.85,clear sky,-37.6167,-73.65,Hostal Las Lilas
150,Murindo,CO,75.15,overcast clouds,6.9848,-76.7544,
151,Hualmay,PE,73.0,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
154,Burnie,AU,68.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
155,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
156,Dongying,CN,50.09,clear sky,37.4564,118.4856,Wanda Realm
157,Mazamari,PE,68.04,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
158,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
159,Taltal,CL,67.96,few clouds,-25.4,-70.4833,Residencial Karime
160,Ribeira Grande,PT,56.3,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
161,Cheney,US,48.94,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
163,Nioro,GM,75.34,clear sky,13.35,-15.75,
164,Cape Canaveral,US,64.99,broken clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
169,Grabouw,ZA,54.48,light rain,-34.1515,19.0151,Belfield Wines and Farm Cottages
170,Urucara,BR,74.48,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
173,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
174,Bengkulu,ID,76.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Maraa,BR,71.6,overcast clouds,-1.8333,-65.3667,
176,Bandarbeyla,SO,76.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
177,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
180,Ponta Do Sol,PT,54.72,broken clouds,32.6667,-17.1,Hotel do Campo
181,Lazaro Cardenas,MX,75.85,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
184,Muroto,JP,62.33,broken clouds,33.2833,134.15,Oota Ryokan
185,Mareeba,AU,76.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
187,Naze,JP,67.17,clear sky,28.3667,129.4833,Shishime Hotel
190,Bunia,CD,60.82,broken clouds,1.5667,30.25,Gold Star International Hotel
191,Camacha,PT,49.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
193,Mosquera,CO,57.29,scattered clouds,4.7059,-74.2302,Hotel SJ
194,Leku,ET,60.04,overcast clouds,6.8667,38.45,
195,Esperance,AU,69.64,scattered clouds,-33.8667,121.9,Hospitality Esperance
197,Praia,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
199,Mixco,GT,63.39,broken clouds,14.6333,-90.6064,Cabaña Suiza
202,Moron,AR,71.35,clear sky,-34.6534,-58.6198,Hotel Morón
203,Yumen,CN,46.06,overcast clouds,40.2833,97.2,
204,Port Lincoln,AU,77.83,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
205,Kisangani,CD,69.4,overcast clouds,0.5167,25.2,Grand Ramela Hotel
206,Muros,ES,45.84,light rain,42.7762,-9.0603,Apartment Av. Castelao
212,Kapit,MY,75.6,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
214,Hamilton,US,47.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
215,Grass Valley,US,56.82,overcast clouds,39.2191,-121.0611,Holbrooke Hotel
216,Maldonado,UY,60.19,clear sky,-34.6667,-54.9167,La Cimarrona
218,Syracuse,IT,47.57,broken clouds,37.0881,15.2792,Hotel Posta
219,Bud,US,48.18,clear sky,39.447,-86.1758,Ted McQuinn Trust
220,Ericeira,PT,55.35,scattered clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
223,Labrea,BR,72.73,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
225,Baixo Guandu,BR,74.57,clear sky,-19.5189,-41.0158,Hotel e Restaurante Barbosa
226,Mayor Pablo Lagerenza,PY,69.78,broken clouds,-19.9309,-60.7718,
227,Arlit,NE,68.36,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
230,Sacramento,US,65.82,clear sky,38.4666,-121.3177,Woodside Homes
233,Puerto Montt,CL,52.63,clear sky,-41.4698,-72.9447,Gran Hotel Vicente Costanera
238,Sambava,MG,74.7,overcast clouds,-14.2667,50.1667,Melrose
239,Cidreira,BR,69.31,overcast clouds,-30.1811,-50.2056,Hotel Castelo
240,Zuwarah,LY,61.18,broken clouds,32.9312,12.082,تيدارت انغ
241,Kruisfontein,ZA,58.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
245,Mchinji,MW,61.57,overcast clouds,-13.7984,32.8802,Kayesa Inn
246,Komsomolskiy,UZ,52.52,fog,40.4272,71.7189,Ikathouse
252,Ginir,ET,60.06,overcast clouds,7.1333,40.7,Sura Dare Village
