City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Fortuna,US,40.5982,-124.1573,55.92,64,0,11.5,clear sky
115,Bourail,NC,-21.5667,165.4833,86.22,63,89,3.06,overcast clouds
116,Hovd,MN,48.0056,91.6419,32.86,45,0,19.39,clear sky
117,San Patricio,US,28.017,-97.5169,64.27,71,99,10.58,overcast clouds
118,Ahualulco,MX,22.4,-101.1667,64.22,20,7,6.53,clear sky
119,Mount Gambier,AU,-37.8333,140.7667,72.68,60,100,6.96,overcast clouds
120,Kirkwall,GB,58.9848,-2.9587,44.65,93,100,14.97,overcast clouds
121,Saldanha,ZA,-33.0117,17.9442,60.66,62,86,14.99,overcast clouds
122,Suratgarh,IN,29.3167,73.9,73.2,31,0,6.87,clear sky
123,Rio Grande,BR,-32.035,-52.0986,63.95,73,97,3.94,overcast clouds
124,Benjamin Aceval,PY,-24.9667,-57.5667,73.54,58,0,5.7,clear sky
125,Thompson,CA,55.7435,-97.8558,8.76,72,100,12.66,overcast clouds
126,Belaya Gora,RU,68.5333,146.4167,-2.18,93,100,2.8,overcast clouds
127,Port Blair,IN,11.6667,92.75,80.74,70,92,4.34,overcast clouds
128,Sulejowek,PL,52.2522,21.269,34.9,78,5,7.74,clear sky
129,Cervo,ES,43.6702,-7.4101,44.96,82,100,6.67,overcast clouds
130,Marzuq,YE,14.4,46.4667,61.12,46,7,5.53,clear sky
131,Talcahuano,CL,-36.7167,-73.1167,62.28,72,0,4.61,clear sky
132,Hithadhoo,MV,-0.6,73.0833,82.71,71,100,4.03,overcast clouds
133,Athabasca,CA,54.7169,-113.2854,15.71,91,100,7.94,overcast clouds
134,Yorkton,CA,51.2167,-102.4677,8.49,95,100,4.9,overcast clouds
135,San Juan,AR,-31.5375,-68.5364,75.88,35,0,8.84,clear sky
136,Provideniya,RU,64.3833,-173.3,23.36,49,0,8.99,clear sky
137,Agadir,MA,30.4202,-9.5982,59.45,90,91,5.68,overcast clouds
138,Biak,ID,-0.9131,122.8766,80.65,75,80,0.11,broken clouds
139,Rocha,UY,-34.4833,-54.3333,56.48,92,2,2.93,clear sky
140,Inuvik,CA,68.3499,-133.7218,-1.73,87,100,13.13,overcast clouds
141,Asau,RO,46.4333,26.4,29.32,97,75,2.93,broken clouds
142,Stornoway,GB,58.2093,-6.3865,46.36,85,75,9.22,broken clouds
143,Florianopolis,BR,-27.6146,-48.5012,70.36,97,100,9.22,overcast clouds
144,Hobart,AU,-42.8794,147.3294,66.06,84,75,9.22,broken clouds
145,Lebu,CL,-37.6167,-73.65,57.85,79,0,19.57,clear sky
146,Polyarnyye Zori,RU,67.3661,32.4981,27.77,98,100,2.95,overcast clouds
147,Karlshamn,SE,56.1706,14.8619,34.92,84,6,7.56,clear sky
148,San Alberto,CO,7.7611,-73.3922,78.44,84,93,3.09,overcast clouds
149,Samarai,PG,-10.6167,150.6667,85.35,69,45,15.03,scattered clouds
150,Murindo,CO,6.9848,-76.7544,75.15,94,100,1.48,overcast clouds
151,Hualmay,PE,-11.0964,-77.6139,73.0,78,100,8.28,overcast clouds
152,Zapresic,HR,45.8564,15.8078,34.05,76,0,3.09,clear sky
153,Maniitsoq,GL,65.4167,-52.9,3.42,83,100,20.11,overcast clouds
154,Burnie,AU,-41.0667,145.9167,68.92,71,100,9.6,overcast clouds
155,Santa Cruz,BO,-17.8,-63.1667,72.86,83,75,5.75,broken clouds
156,Dongying,CN,37.4564,118.4856,50.09,64,9,11.16,clear sky
157,Mazamari,PE,-11.3258,-74.5308,68.04,98,100,1.48,overcast clouds
158,Souillac,MU,-20.5167,57.5167,77.38,94,40,5.75,scattered clouds
159,Taltal,CL,-25.4,-70.4833,67.96,77,15,5.32,few clouds
160,Ribeira Grande,PT,38.5167,-28.7,56.3,63,99,9.31,overcast clouds
161,Cheney,US,47.4874,-117.5758,48.94,62,75,14.97,broken clouds
162,Dongsheng,CN,39.8161,109.9776,40.51,34,0,14.16,clear sky
163,Nioro,GM,13.35,-15.75,75.34,35,3,7.72,clear sky
164,Cape Canaveral,US,28.4058,-80.6048,64.99,72,75,10.36,broken clouds
165,Fairbanks,US,64.8378,-147.7164,19.81,31,0,9.22,clear sky
166,Ahuimanu,US,21.4447,-157.8378,83.91,63,40,14.97,scattered clouds
167,Ayan,RU,56.45,138.1667,16.75,70,100,0.83,overcast clouds
168,Westport,US,41.1415,-73.3579,30.02,74,100,14.97,overcast clouds
169,Grabouw,ZA,-34.1515,19.0151,54.48,77,63,5.57,light rain
170,Urucara,BR,-2.5364,-57.76,74.48,99,100,3.33,overcast clouds
171,Mogadishu,SO,2.0371,45.3438,78.13,80,100,17.13,overcast clouds
172,Nyuksenitsa,RU,60.4128,44.2397,15.4,97,100,6.58,overcast clouds
173,Klaksvik,FO,62.2266,-6.589,45.52,95,94,13.38,overcast clouds
174,Bengkulu,ID,-3.8004,102.2655,76.01,91,100,6.49,overcast clouds
175,Maraa,BR,-1.8333,-65.3667,71.6,100,100,2.04,overcast clouds
176,Bandarbeyla,SO,9.4942,50.8122,76.98,73,96,13.04,overcast clouds
177,Coquimbo,CL,-29.9533,-71.3436,60.53,94,20,6.91,few clouds
178,Broken Hill,AU,-31.95,141.4333,83.17,44,100,6.91,overcast clouds
179,Omboue,GA,-1.5746,9.2618,79.0,85,100,4.14,light rain
